analysis_id,recording_key,voice_id,user_id,sales_name,group_name,call_time,call_status,call_stage,stage_confidence,summary_ar,attendance_intent,attendance_risk,cancel_absence_reason,cancel_absence_reason_ar,need_reschedule,reschedule_time,teacher_preference,level_signal,price_sensitivity,parent_involvement_needed,trial_satisfaction,student_level_summary_ar,learning_goal_ar,pain_points_ar,purchase_intent,purchase_intent_reason_ar,main_objection,main_objection_ar,payment_blocker,other_reason_ar,other_objection_ar,manual_review_reason_ar,next_action_ar,target_pool,priority,should_create_task,analysis_status,analysis_error,raw_ai_json,analyzed_at,created_at,updated_at,play_url,down_url,oss_object_key,oss_signed_url,transcript_text,transcript_status,transcript_error,asr_task_id,asr_model,transcribed_at,lead_quality,course_feedback,fraud_risk,followup_issue,next_action,reason_ar
analysis_voice_599389186,voice_599389186,599389186,62993447,51habiba.hassan,2244(Maqsam),2026-04-22 21:59:57,双方接通,unknown,low,العميلة حياة، وهي نيجيرية مقيمة في فيتنام، تتحدث الإنجليزية بمستوى منخفض. يبدو أن هناك سوء فهم كبير لغرض المكالمة. ذكرت أنها شاهدت إعلانات على تيك توك وفيسبوك. قدمت معلومات متضاربة حول وضعها العائلي، حيث ذكرت في البداية أنها مع والديها ثم أوضحت أن والديها متوفيان وأنها تعيش مع أقاربها. في نهاية المكالمة، ذكرت أنها ستتحدث مع عمها وستعود لاحقًا.,unclear,unclear,not_applicable,غير منطبق,unclear,,unclear,unclear,unclear,yes,unclear,,,,unclear,,need_parent_approval,تحتاج لموافقة العم/الوصي,not_applicable,,,العميلة ليست من الفئة المستهدفة للشركة (نيجيرية مقيمة في فيتنام). يوجد حاجز لغوي واضح وسوء فهم كبير لغرض المكالمة من جانب العميل. المعلومات المقدمة حول الوضع العائلي متضاربة وغير واضحة. لم يتمكن الموظف من تحديد أو تأكيد أي إجراء أو هدف تجاري للمكالمة.,يجب مراجعة المكالمة يدويًا لتقييم مدى ملاءمة العميل لخدمات الشركة وتحديد ما إذا كان هناك أي إجراء ممكن، أو إغلاق الفرصة بسبب عدم التطابق الديموغرافي واللغوي.,manual_review_pool,high,true,success,,"{""call_stage"": ""unknown"", ""stage_confidence"": ""low"", ""summary_ar"": ""العميلة حياة، وهي نيجيرية مقيمة في فيتنام، تتحدث الإنجليزية بمستوى منخفض. يبدو أن هناك سوء فهم كبير لغرض المكالمة. ذكرت أنها شاهدت إعلانات على تيك توك وفيسبوك. قدمت معلومات متضاربة حول وضعها العائلي، حيث ذكرت في البداية أنها مع والديها ثم أوضحت أن والديها متوفيان وأنها تعيش مع أقاربها. في نهاية المكالمة، ذكرت أنها ستتحدث مع عمها وستعود لاحقًا."", ""attendance_intent"": ""unclear"", ""attendance_risk"": ""unclear"", ""cancel_absence_reason"": ""not_applicable"", ""cancel_absence_reason_ar"": ""غير منطبق"", ""need_reschedule"": ""unclear"", ""reschedule_time"": null, ""teacher_preference"": ""unclear"", ""level_signal"": ""unclear"", ""price_sensitivity"": ""unclear"", ""parent_involvement_needed"": ""yes"", ""trial_satisfaction"": ""unclear"", ""student_level_summary_ar"": null, ""learning_goal_ar"": null, ""pain_points_ar"": null, ""purchase_intent"": ""unclear"", ""purchase_intent_reason_ar"": null, ""main_objection"": ""need_parent_approval"", ""main_objection_ar"": ""تحتاج لموافقة العم/الوصي"", ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": null, ""other_objection_ar"": null, ""manual_review_reason_ar"": ""العميلة ليست من الفئة المستهدفة للشركة (نيجيرية مقيمة في فيتنام). يوجد حاجز لغوي واضح وسوء فهم كبير لغرض المكالمة من جانب العميل. المعلومات المقدمة حول الوضع العائلي متضاربة وغير واضحة. لم يتمكن الموظف من تحديد أو تأكيد أي إجراء أو هدف تجاري للمكالمة."", ""next_action_ar"": ""يجب مراجعة المكالمة يدويًا لتقييم مدى ملاءمة العميل لخدمات الشركة وتحديد ما إذا كان هناك أي إجراء ممكن، أو إغلاق الفرصة بسبب عدم التطابق الديموغرافي واللغوي."", ""target_pool"": ""manual_review_pool"", ""priority"": ""high"", ""should_create_task"": true}",2026-04-26 01:22:46,2026-04-26 01:22:46,2026-04-26 01:22:46,,,,,,,,,,,,,,,,
analysis_voice_599389935,voice_599389935,599389935,0,EGCC-eman.amr,2289(Maqsam),2026-04-22 22:00:17,双方接通,unknown,low,المكالمة قصيرة ومتقطعة، العميل يذكر أنه ليس في المنزل وخارجاً. لا يمكن تحديد الغرض من المكالمة بوضوح.,unclear,unclear,other,العميل ذكر أنه ليس في المنزل وخارجاً، مما يشير إلى عدم توفره للمكالمة أو الحضور.,unclear,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,,unclear,,unknown,,not_applicable,العميل غير متوفر في المنزل.,,المكالمة قصيرة جداً ومتقطعة مع تكرار للعبارات، مما يجعل تحديد الغرض منها أو تصنيفها بشكل دقيق أمراً صعباً. العميل ذكر أنه ليس في المنزل.,مراجعة يدوية للمكالمة لتحديد السياق أو محاولة الاتصال بالعميل لاحقاً.,manual_review_pool,medium,true,success,,"{""call_stage"": ""unknown"", ""stage_confidence"": ""low"", ""summary_ar"": ""المكالمة قصيرة ومتقطعة، العميل يذكر أنه ليس في المنزل وخارجاً. لا يمكن تحديد الغرض من المكالمة بوضوح."", ""attendance_intent"": ""unclear"", ""attendance_risk"": ""unclear"", ""cancel_absence_reason"": ""other"", ""cancel_absence_reason_ar"": ""العميل ذكر أنه ليس في المنزل وخارجاً، مما يشير إلى عدم توفره للمكالمة أو الحضور."", ""need_reschedule"": ""unclear"", ""reschedule_time"": null, ""teacher_preference"": ""not_applicable"", ""level_signal"": ""not_applicable"", ""price_sensitivity"": ""not_applicable"", ""parent_involvement_needed"": ""not_applicable"", ""trial_satisfaction"": ""not_applicable"", ""student_level_summary_ar"": null, ""learning_goal_ar"": null, ""pain_points_ar"": null, ""purchase_intent"": ""unclear"", ""purchase_intent_reason_ar"": null, ""main_objection"": ""unknown"", ""main_objection_ar"": null, ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": ""العميل غير متوفر في المنزل."", ""other_objection_ar"": null, ""manual_review_reason_ar"": ""المكالمة قصيرة جداً ومتقطعة مع تكرار للعبارات، مما يجعل تحديد الغرض منها أو تصنيفها بشكل دقيق أمراً صعباً. العميل ذكر أنه ليس في المنزل."", ""next_action_ar"": ""مراجعة يدوية للمكالمة لتحديد السياق أو محاولة الاتصال بالعميل لاحقاً."", ""target_pool"": ""manual_review_pool"", ""priority"": ""medium"", ""should_create_task"": true}",2026-04-26 01:22:55,2026-04-26 01:22:55,2026-04-26 01:22:55,,,,,,,,,,,,,,,,
analysis_voice_599390898,voice_599390898,599390898,62981103,EGCC-fatmamohamed,2310(Maqsam),2026-04-22 22:07:30,双方接通,in_class_support,medium,العميل يواجه صعوبة في الدخول إلى الدرس أو استلام الرابط. كما عبر عن تفضيله لمدرس يشرح باللغة الإنجليزية لأنه لا يفهم الشرح باللغة العربية جيداً.,high,high,not_applicable,not_applicable,no,not_applicable,foreign_teacher,unclear,not_applicable,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,technical_issue,مشكلة تقنية في الدخول للدرس أو استلام الرابط.,not_applicable,not_applicable,العميل يفضل مدرس يشرح باللغة الإنجليزية لأنه لا يفهم الشرح باللغة العربية جيداً.,not_applicable,مساعدة العميل على الدخول للدرس فوراً والتأكد من استلامه للرابط. مراجعة تفضيلات المدرس وتحديثها لضمان توفير مدرس يتحدث الإنجليزية للشرح في المستقبل.,technical_support_pool,high,true,success,,"{""call_stage"": ""in_class_support"", ""stage_confidence"": ""medium"", ""summary_ar"": ""العميل يواجه صعوبة في الدخول إلى الدرس أو استلام الرابط. كما عبر عن تفضيله لمدرس يشرح باللغة الإنجليزية لأنه لا يفهم الشرح باللغة العربية جيداً."", ""attendance_intent"": ""high"", ""attendance_risk"": ""high"", ""cancel_absence_reason"": ""not_applicable"", ""cancel_absence_reason_ar"": ""not_applicable"", ""need_reschedule"": ""no"", ""reschedule_time"": ""not_applicable"", ""teacher_preference"": ""foreign_teacher"", ""level_signal"": ""unclear"", ""price_sensitivity"": ""not_applicable"", ""parent_involvement_needed"": ""no"", ""trial_satisfaction"": ""not_applicable"", ""student_level_summary_ar"": ""not_applicable"", ""learning_goal_ar"": ""not_applicable"", ""pain_points_ar"": ""not_applicable"", ""purchase_intent"": ""not_applicable"", ""purchase_intent_reason_ar"": ""not_applicable"", ""main_objection"": ""technical_issue"", ""main_objection_ar"": ""مشكلة تقنية في الدخول للدرس أو استلام الرابط."", ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": ""not_applicable"", ""other_objection_ar"": ""العميل يفضل مدرس يشرح باللغة الإنجليزية لأنه لا يفهم الشرح باللغة العربية جيداً."", ""manual_review_reason_ar"": ""not_applicable"", ""next_action_ar"": ""مساعدة العميل على الدخول للدرس فوراً والتأكد من استلامه للرابط. مراجعة تفضيلات المدرس وتحديثها لضمان توفير مدرس يتحدث الإنجليزية للشرح في المستقبل."", ""target_pool"": ""technical_support_pool"", ""priority"": ""high"", ""should_create_task"": true}",2026-04-26 01:25:25,2026-04-26 01:25:25,2026-04-26 01:25:25,,,,,,,,,,,,,,,,
analysis_voice_599394295,voice_599394295,599394295,62988316,EGCC-tasneemmahmoud,2311(Maqsam),2026-04-22 22:26:35,双方接通,unknown,low,,,,,,,,,,,,,,,,,,,,,,,فشل تحليل المكالمة آليًا، وتحتاج إلى مراجعة يدوية.,,manual_review_pool,medium,true,failed,"No JSON object found in Gemini response: { ""call_stage"": ""unknown"", ""stage_confidence"": ""high"", ""summary_ar"": ""الطالبة مهتمة جداً بتطوير لغتها الإنجليزية من مستوى ضعيف جداً (صفر مبتدئ) لتتمكن من التحدث والقراءة والفهم. لديها هدف لاجتياز اختبار ستيب للجامعة بعد التأسيس. استفسرت عن سعر الدورة وأبدت نية قوية للتسجيل بعد الحصول على معلومات إضافية، مشيرة إلى أنها ستحاول التأسيس ثم التسجيل."", ""attendance_intent"": ""not_applicable"", ""attendance_risk"": ""not_applicable"", ""cancel_",,2026-04-26 01:25:46,2026-04-26 01:25:46,2026-04-26 01:25:46,,,,,,,,,,,,,,,,
analysis_voice_599399387,voice_599399387,599399387,61222827,EGCC-eman.amr,2289(Maqsam),2026-04-22 22:57:03,双方接通,post_class_followup,high,"الأم تتصل للاستفسار عن إمكانية إعادة التسجيل لابنتها ""غلا"" بعد تجربة سابقة. تذكر الأم أن غلا واجهت صعوبة في التواصل مع المعلمة السابقة بسبب خجلها وأن المعلمة كانت تعطي إجابات مختصرة. الأم ترغب في معلمة مختلفة وتفضل بدء الاشتراك في الصيف (شهر 6) بعد عودة الأب من السفر لمناقشة الأمر معه.",not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,other,unclear,unclear,yes,low,"الأم غير متأكدة من مستوى ابنتها ""غلا"" الحقيقي، حيث واجهت غلا صعوبة في التواصل مع المعلمة السابقة بسبب خجلها وكانت تعطي إجابات مختصرة. الأم ترغب في معرفة تقييم المعلمة لمستوى غلا.",تحسين مهارات المحادثة والتفاعل باللغة الإنجليزية، والتغلب على الخجل. الأم ذكرت أن غلا تحب الأغاني الإنجليزية.,صعوبة التواصل والتفاعل مع المعلمة، خجل الطالبة، عدم وضوح مستوى الطالبة الحقيقي، عدم القدرة على أخذ وعطاء في المحادثة.,medium,الأم مهتمة بإعادة تسجيل ابنتها ولكن بعد مناقشة مع الأب وتغيير المعلمة وتحديد موعد بدء مناسب في الصيف.,need_parent_approval,الحاجة لموافقة الأب ومناقشة تفاصيل الاشتراك معه، بالإضافة إلى رغبة الأم في تغيير المعلمة.,not_applicable,الأم لا ترغب في نفس المعلمة السابقة بسبب عدم تفاعل ابنتها معها.,not_applicable,not_applicable,"متابعة مع الأم بعد عودة الأب لمناقشة تفاصيل الاشتراك وتحديد معلمة جديدة مناسبة، مع الأخذ بالاعتبار رغبتهم في البدء في الصيف. يجب أيضًا الاستفسار من المعلمة السابقة عن تقييمها لمستوى الطالبة ""غلا"" وتفاعلها.",parent_approval_pool,medium,true,success,,"{""call_stage"": ""post_class_followup"", ""stage_confidence"": ""high"", ""summary_ar"": ""الأم تتصل للاستفسار عن إمكانية إعادة التسجيل لابنتها \""غلا\"" بعد تجربة سابقة. تذكر الأم أن غلا واجهت صعوبة في التواصل مع المعلمة السابقة بسبب خجلها وأن المعلمة كانت تعطي إجابات مختصرة. الأم ترغب في معلمة مختلفة وتفضل بدء الاشتراك في الصيف (شهر 6) بعد عودة الأب من السفر لمناقشة الأمر معه."", ""attendance_intent"": ""not_applicable"", ""attendance_risk"": ""not_applicable"", ""cancel_absence_reason"": ""not_applicable"", ""cancel_absence_reason_ar"": ""not_applicable"", ""need_reschedule"": ""not_applicable"", ""reschedule_time"": null, ""teacher_preference"": ""other"", ""level_signal"": ""unclear"", ""price_sensitivity"": ""unclear"", ""parent_involvement_needed"": ""yes"", ""trial_satisfaction"": ""low"", ""student_level_summary_ar"": ""الأم غير متأكدة من مستوى ابنتها \""غلا\"" الحقيقي، حيث واجهت غلا صعوبة في التواصل مع المعلمة السابقة بسبب خجلها وكانت تعطي إجابات مختصرة. الأم ترغب في معرفة تقييم المعلمة لمستوى غلا."", ""learning_goal_ar"": ""تحسين مهارات المحادثة والتفاعل باللغة الإنجليزية، والتغلب على الخجل. الأم ذكرت أن غلا تحب الأغاني الإنجليزية."", ""pain_points_ar"": ""صعوبة التواصل والتفاعل مع المعلمة، خجل الطالبة، عدم وضوح مستوى الطالبة الحقيقي، عدم القدرة على أخذ وعطاء في المحادثة."", ""purchase_intent"": ""medium"", ""purchase_intent_reason_ar"": ""الأم مهتمة بإعادة تسجيل ابنتها ولكن بعد مناقشة مع الأب وتغيير المعلمة وتحديد موعد بدء مناسب في الصيف."", ""main_objection"": ""need_parent_approval"", ""main_objection_ar"": ""الحاجة لموافقة الأب ومناقشة تفاصيل الاشتراك معه، بالإضافة إلى رغبة الأم في تغيير المعلمة."", ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": ""الأم لا ترغب في نفس المعلمة السابقة بسبب عدم تفاعل ابنتها معها."", ""other_objection_ar"": ""not_applicable"", ""manual_review_reason_ar"": ""not_applicable"", ""next_action_ar"": ""متابعة مع الأم بعد عودة الأب لمناقشة تفاصيل الاشتراك وتحديد معلمة جديدة مناسبة، مع الأخذ بالاعتبار رغبتهم في البدء في الصيف. يجب أيضًا الاستفسار من المعلمة السابقة عن تقييمها لمستوى الطالبة \""غلا\"" وتفاعلها."", ""target_pool"": ""parent_approval_pool"", ""priority"": ""medium"", ""should_create_task"": true}",2026-04-26 01:28:37,2026-04-26 01:28:37,2026-04-26 01:28:37,,,,,,,,,,,,,,,,
analysis_voice_599400423,voice_599400423,599400423,62994147,EGCC-tasneemmahmoud,2311(Maqsam),2026-04-22 23:00:46,双方接通,in_class_support,high,الطالبة تحاول الدخول إلى الفصل وتسأل عن حالة الاتصال، كما تواجه مشكلة فنية تتعلق بالميكروفون.,not_applicable,not_applicable,not_applicable,,not_applicable,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,,not_applicable,,not_applicable,,not_applicable,,,,تقديم الدعم الفني للطالبة لمساعدتها على الدخول إلى الفصل وحل مشكلة الميكروفون.,technical_support_pool,high,true,success,,"{""call_stage"": ""in_class_support"", ""stage_confidence"": ""high"", ""summary_ar"": ""الطالبة تحاول الدخول إلى الفصل وتسأل عن حالة الاتصال، كما تواجه مشكلة فنية تتعلق بالميكروفون."", ""attendance_intent"": ""not_applicable"", ""attendance_risk"": ""not_applicable"", ""cancel_absence_reason"": ""not_applicable"", ""cancel_absence_reason_ar"": """", ""need_reschedule"": ""not_applicable"", ""reschedule_time"": """", ""teacher_preference"": ""not_applicable"", ""level_signal"": ""not_applicable"", ""price_sensitivity"": ""not_applicable"", ""parent_involvement_needed"": ""not_applicable"", ""trial_satisfaction"": ""not_applicable"", ""student_level_summary_ar"": """", ""learning_goal_ar"": """", ""pain_points_ar"": """", ""purchase_intent"": ""not_applicable"", ""purchase_intent_reason_ar"": """", ""main_objection"": ""not_applicable"", ""main_objection_ar"": """", ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": """", ""other_objection_ar"": """", ""manual_review_reason_ar"": """", ""next_action_ar"": ""تقديم الدعم الفني للطالبة لمساعدتها على الدخول إلى الفصل وحل مشكلة الميكروفون."", ""target_pool"": ""technical_support_pool"", ""priority"": ""high"", ""should_create_task"": true}",2026-04-26 01:28:46,2026-04-26 01:28:46,2026-04-26 01:28:46,,,,,,,,,,,,,,,,
analysis_voice_599402608,voice_599402608,599402608,62988316,EGCC-tasneemmahmoud,2311(Maqsam),2026-04-22 23:25:13,双方接通,unknown,low,"المكالمة قصيرة وتحتوي على أجزاء غير واضحة أو غير منطقية. يبدو أن هناك محاولة للدخول إلى شيء ما (""إيه تمام الحين بخش"")، ولكن بقية الحديث غير مفهوم أو يبدو كخطأ في تحويل الكلام إلى نص.",unclear,unclear,not_applicable,,unclear,,unclear,unclear,unclear,unclear,unclear,,,,unclear,,not_applicable,,not_applicable,,,"المكالمة تحتوي على أجزاء غير مفهومة وغير منطقية (مثل ""توبات خوشان"" و ""أبشي بدي خيمتك خي"")، مما يجعل تحديد مرحلة المكالمة أو غرضها مستحيلاً. هناك جملة واحدة واضحة (""إيه تمام الحين بخش"") ولكنها غير كافية لتصنيف المكالمة.",يجب مراجعة التسجيل الصوتي يدوياً لفهم المحتوى الحقيقي للمكالمة.,manual_review_pool,high,true,success,,"{""call_stage"": ""unknown"", ""stage_confidence"": ""low"", ""summary_ar"": ""المكالمة قصيرة وتحتوي على أجزاء غير واضحة أو غير منطقية. يبدو أن هناك محاولة للدخول إلى شيء ما (\""إيه تمام الحين بخش\"")، ولكن بقية الحديث غير مفهوم أو يبدو كخطأ في تحويل الكلام إلى نص."", ""attendance_intent"": ""unclear"", ""attendance_risk"": ""unclear"", ""cancel_absence_reason"": ""not_applicable"", ""cancel_absence_reason_ar"": """", ""need_reschedule"": ""unclear"", ""reschedule_time"": """", ""teacher_preference"": ""unclear"", ""level_signal"": ""unclear"", ""price_sensitivity"": ""unclear"", ""parent_involvement_needed"": ""unclear"", ""trial_satisfaction"": ""unclear"", ""student_level_summary_ar"": """", ""learning_goal_ar"": """", ""pain_points_ar"": """", ""purchase_intent"": ""unclear"", ""purchase_intent_reason_ar"": """", ""main_objection"": ""not_applicable"", ""main_objection_ar"": """", ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": """", ""other_objection_ar"": """", ""manual_review_reason_ar"": ""المكالمة تحتوي على أجزاء غير مفهومة وغير منطقية (مثل \""توبات خوشان\"" و \""أبشي بدي خيمتك خي\"")، مما يجعل تحديد مرحلة المكالمة أو غرضها مستحيلاً. هناك جملة واحدة واضحة (\""إيه تمام الحين بخش\"") ولكنها غير كافية لتصنيف المكالمة."", ""next_action_ar"": ""يجب مراجعة التسجيل الصوتي يدوياً لفهم المحتوى الحقيقي للمكالمة."", ""target_pool"": ""manual_review_pool"", ""priority"": ""high"", ""should_create_task"": true}",2026-04-26 01:30:45,2026-04-26 01:30:45,2026-04-26 01:30:45,,,,,,,,,,,,,,,,
analysis_voice_599409989,voice_599409989,599409989,62988574,51habiba.hassan,2244(Maqsam),2026-04-23 00:33:50,双方接通,unknown,low,المتصل يتحدث بلغات متعددة وغير مفهومة، ويذكر أنه لا يعرف الإنجليزية ولا العربية، مما يجعل الغرض من المكالمة غير واضح تماماً.,unclear,unclear,not_applicable,,not_applicable,,not_applicable,unclear,not_applicable,unclear,not_applicable,,,,unclear,,unknown,,not_applicable,,,المكالمة تحتوي على لغات متعددة وغير مفهومة، والمتصل يذكر بشكل متناقض أنه لا يعرف الإنجليزية ولا العربية، مما يجعل تحديد هوية المتصل أو الغرض من المكالمة مستحيلاً.,يجب مراجعة المكالمة يدوياً بشكل عاجل لفهم هوية المتصل والغرض من المكالمة وتحديد الخطوة التالية.,manual_review_pool,high,true,success,,"{""call_stage"": ""unknown"", ""stage_confidence"": ""low"", ""summary_ar"": ""المتصل يتحدث بلغات متعددة وغير مفهومة، ويذكر أنه لا يعرف الإنجليزية ولا العربية، مما يجعل الغرض من المكالمة غير واضح تماماً."", ""attendance_intent"": ""unclear"", ""attendance_risk"": ""unclear"", ""cancel_absence_reason"": ""not_applicable"", ""cancel_absence_reason_ar"": null, ""need_reschedule"": ""not_applicable"", ""reschedule_time"": null, ""teacher_preference"": ""not_applicable"", ""level_signal"": ""unclear"", ""price_sensitivity"": ""not_applicable"", ""parent_involvement_needed"": ""unclear"", ""trial_satisfaction"": ""not_applicable"", ""student_level_summary_ar"": null, ""learning_goal_ar"": null, ""pain_points_ar"": null, ""purchase_intent"": ""unclear"", ""purchase_intent_reason_ar"": null, ""main_objection"": ""unknown"", ""main_objection_ar"": null, ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": null, ""other_objection_ar"": null, ""manual_review_reason_ar"": ""المكالمة تحتوي على لغات متعددة وغير مفهومة، والمتصل يذكر بشكل متناقض أنه لا يعرف الإنجليزية ولا العربية، مما يجعل تحديد هوية المتصل أو الغرض من المكالمة مستحيلاً."", ""next_action_ar"": ""يجب مراجعة المكالمة يدوياً بشكل عاجل لفهم هوية المتصل والغرض من المكالمة وتحديد الخطوة التالية."", ""target_pool"": ""manual_review_pool"", ""priority"": ""high"", ""should_create_task"": true}",2026-04-26 01:32:50,2026-04-26 01:32:50,2026-04-26 01:32:50,,,,,,,,,,,,,,,,
analysis_voice_599410929,voice_599410929,599410929,62985239,EGCC-eman.amr,2289(Maqsam),2026-04-23 00:41:12,双方接通,pre_class_confirm,high,الطالبة جنى (18 سنة) تتصل للاستفسار عن موعد حصتها التجريبية، حيث كانت تعتقد أنها الساعة 5 مساءً بينما هي محجوزة الساعة 10 مساءً. أكدت الطالبة أنها ستجرب الحصة اليوم. لديها اهتمام بتطوير مستواها في الإنجليزية بعد فترة انقطاع، وتستفسر عن الشهادات المعتمدة والعروض. ذكرت أن والدها هو من أرسل لها الرابط وأنها ستحتاج لمناقشة الأمر مع والدتها.,high,low,not_applicable,غير منطبق,no,,unclear,beginner,unclear,yes,not_applicable,الطالبة لم تدرس الإنجليزية منذ فترة طويلة وتحتاج إلى تطوير مستواها واستعادة ما تعلمته سابقاً.,تطوير مستوى اللغة الإنجليزية بعد فترة انقطاع، واستعادة المهارات السابقة.,فترة انقطاع طويلة عن دراسة اللغة الإنجليزية.,unclear,غير منطبق,no_objection,لا يوجد اعتراض,not_applicable,,,,التأكد من حضور الطالبة للحصة التجريبية ومتابعتها بعد الحصة.,pre_class_confirm_pool,high,true,success,,"{""call_stage"": ""pre_class_confirm"", ""stage_confidence"": ""high"", ""summary_ar"": ""الطالبة جنى (18 سنة) تتصل للاستفسار عن موعد حصتها التجريبية، حيث كانت تعتقد أنها الساعة 5 مساءً بينما هي محجوزة الساعة 10 مساءً. أكدت الطالبة أنها ستجرب الحصة اليوم. لديها اهتمام بتطوير مستواها في الإنجليزية بعد فترة انقطاع، وتستفسر عن الشهادات المعتمدة والعروض. ذكرت أن والدها هو من أرسل لها الرابط وأنها ستحتاج لمناقشة الأمر مع والدتها."", ""attendance_intent"": ""high"", ""attendance_risk"": ""low"", ""cancel_absence_reason"": ""not_applicable"", ""cancel_absence_reason_ar"": ""غير منطبق"", ""need_reschedule"": ""no"", ""reschedule_time"": null, ""teacher_preference"": ""unclear"", ""level_signal"": ""beginner"", ""price_sensitivity"": ""unclear"", ""parent_involvement_needed"": ""yes"", ""trial_satisfaction"": ""not_applicable"", ""student_level_summary_ar"": ""الطالبة لم تدرس الإنجليزية منذ فترة طويلة وتحتاج إلى تطوير مستواها واستعادة ما تعلمته سابقاً."", ""learning_goal_ar"": ""تطوير مستوى اللغة الإنجليزية بعد فترة انقطاع، واستعادة المهارات السابقة."", ""pain_points_ar"": ""فترة انقطاع طويلة عن دراسة اللغة الإنجليزية."", ""purchase_intent"": ""unclear"", ""purchase_intent_reason_ar"": ""غير منطبق"", ""main_objection"": ""no_objection"", ""main_objection_ar"": ""لا يوجد اعتراض"", ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": null, ""other_objection_ar"": null, ""manual_review_reason_ar"": null, ""next_action_ar"": ""التأكد من حضور الطالبة للحصة التجريبية ومتابعتها بعد الحصة."", ""target_pool"": ""pre_class_confirm_pool"", ""priority"": ""high"", ""should_create_task"": true}",2026-04-26 01:32:59,2026-04-26 01:32:59,2026-04-26 01:32:59,,,,,,,,,,,,,,,,
analysis_voice_599411480,voice_599411480,599411480,61556717,EGCC-maiwaheed,2313(Maqsam),2026-04-23 00:46:54,双方接通,unknown,low,"المكالمة تحتوي على الكثير من الضوضاء وكلمات غير مفهومة. يبدو أن العميل طلب وقتًا للاتصال به لاحقًا، ولكن هناك جملة غير منطقية ""صلي معي بعد نصف ساعة"" مما يجعل فهم المكالمة صعبًا للغاية.",unclear,unclear,unknown,,unclear,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,,unclear,,unknown,,not_applicable,,,"المكالمة تحتوي على ضوضاء شديدة وكلمات غير مفهومة، بالإضافة إلى جمل متناقضة وغير منطقية مثل ""صلي معي بعد نصف ساعة"" مما يجعل تحديد الغرض من المكالمة أو أي إشارة عمل مستحيلًا. تحتاج إلى مراجعة يدوية لتحديد ما إذا كان هناك أي معنى يمكن استخلاصه.",مراجعة يدوية للمكالمة لتحديد ما إذا كان هناك أي معلومات قابلة للاستخدام أو إذا كان يجب إعادة الاتصال بالعميل.,manual_review_pool,high,true,success,,"{""call_stage"": ""unknown"", ""stage_confidence"": ""low"", ""summary_ar"": ""المكالمة تحتوي على الكثير من الضوضاء وكلمات غير مفهومة. يبدو أن العميل طلب وقتًا للاتصال به لاحقًا، ولكن هناك جملة غير منطقية \""صلي معي بعد نصف ساعة\"" مما يجعل فهم المكالمة صعبًا للغاية."", ""attendance_intent"": ""unclear"", ""attendance_risk"": ""unclear"", ""cancel_absence_reason"": ""unknown"", ""cancel_absence_reason_ar"": null, ""need_reschedule"": ""unclear"", ""reschedule_time"": null, ""teacher_preference"": ""not_applicable"", ""level_signal"": ""not_applicable"", ""price_sensitivity"": ""not_applicable"", ""parent_involvement_needed"": ""not_applicable"", ""trial_satisfaction"": ""not_applicable"", ""student_level_summary_ar"": null, ""learning_goal_ar"": null, ""pain_points_ar"": null, ""purchase_intent"": ""unclear"", ""purchase_intent_reason_ar"": null, ""main_objection"": ""unknown"", ""main_objection_ar"": null, ""payment_blocker"": ""not_applicable"", ""other_reason_ar"": null, ""other_objection_ar"": null, ""manual_review_reason_ar"": ""المكالمة تحتوي على ضوضاء شديدة وكلمات غير مفهومة، بالإضافة إلى جمل متناقضة وغير منطقية مثل \""صلي معي بعد نصف ساعة\"" مما يجعل تحديد الغرض من المكالمة أو أي إشارة عمل مستحيلًا. تحتاج إلى مراجعة يدوية لتحديد ما إذا كان هناك أي معنى يمكن استخلاصه."", ""next_action_ar"": ""مراجعة يدوية للمكالمة لتحديد ما إذا كان هناك أي معلومات قابلة للاستخدام أو إذا كان يجب إعادة الاتصال بالعميل."", ""target_pool"": ""manual_review_pool"", ""priority"": ""high"", ""should_create_task"": true}",2026-04-26 01:34:15,2026-04-26 01:34:15,2026-04-26 01:34:15,,,,,,,,,,,,,,,,
